ocnt_batch,enzyme,n,n_zero,pattern
OCNT-0456298-AQ-001,CYP3A4,4,0,none
OCNT-0456304-AA-001,CYP2J2,4,0,none
OCNT-0456304-AA-001,CYP3A4,4,0,none
OCNT-0456306-AA-001,CYP2J2,4,0,none
OCNT-0456306-AA-001,CYP3A4,4,4,full
OCNT-0456310-AA-001,CYP2J2,3,0,none
OCNT-0456310-AA-001,CYP3A4,3,0,none
OCNT-0456312-AA-001,CYP2J2,4,0,none
OCNT-0456312-AA-001,CYP3A4,4,0,none
OCNT-0456315-AA-001,CYP2J2,4,0,none
OCNT-0456315-AA-001,CYP3A4,4,4,full
OCNT-0456321-AA-001,CYP2J2,4,0,none
OCNT-0456321-AA-001,CYP3A4,4,0,none
OCNT-0456328-AA-001,CYP2J2,4,0,none
OCNT-0456328-AA-001,CYP3A4,3,0,none
OCNT-0456349-AA-001,CYP2J2,4,0,none
OCNT-0456349-AA-001,CYP3A4,4,0,none
OCNT-0456376-AA-001,CYP2J2,4,0,none
OCNT-0456376-AA-001,CYP3A4,4,0,none
OCNT-0456378-AA-001,CYP2J2,4,0,none
OCNT-0456378-AA-001,CYP3A4,4,0,none
OCNT-0456380-AA-001,CYP2J2,4,0,none
OCNT-0456380-AA-001,CYP3A4,4,0,none
OCNT-0456384-AA-001,CYP2J2,4,0,none
OCNT-0456384-AA-001,CYP3A4,4,0,none
OCNT-0456386-AA-001,CYP2J2,4,0,none
OCNT-0456386-AA-001,CYP3A4,4,0,none
OCNT-0456388-AA-001,CYP2J2,4,0,none
OCNT-0456388-AA-001,CYP3A4,4,0,none
OCNT-0456473-AA-001,CYP2J2,4,0,none
OCNT-0456473-AA-001,CYP3A4,4,2,partial
OCNT-0456479-AA-001,CYP2J2,4,0,none
OCNT-0456479-AA-001,CYP3A4,4,4,full
OCNT-0456507-AA-001,CYP2J2,4,2,partial
OCNT-0456507-AA-001,CYP3A4,4,4,full
OCNT-0456571-AA-001,CYP2J2,4,0,none
OCNT-0456571-AA-001,CYP3A4,4,0,none
OCNT-0456667-AA-001,CYP2J2,4,0,none
OCNT-0456667-AA-001,CYP3A4,4,0,none
OCNT-0456671-AA-001,CYP2J2,4,0,none
OCNT-0456671-AA-001,CYP3A4,4,4,full
OCNT-0456677-AA-001,CYP2J2,4,0,none
OCNT-0456677-AA-001,CYP3A4,4,3,partial
OCNT-0456679-AA-001,CYP2J2,4,0,none
OCNT-0456679-AA-001,CYP3A4,4,0,none
OCNT-0456763-AA-001,CYP2J2,4,0,none
OCNT-0456763-AA-001,CYP3A4,4,0,none
OCNT-0456785-AA-001,CYP2J2,4,0,none
OCNT-0456785-AA-001,CYP3A4,3,0,none
OCNT-0456791-AA-001,CYP2J2,4,0,none
OCNT-0456791-AA-001,CYP3A4,4,0,none
OCNT-0456809-AA-001,CYP2J2,4,0,none
OCNT-0456809-AA-001,CYP3A4,4,0,none
