ocnt_batch,CYP2J2,CYP3A4,CYP2J2_call,CYP3A4_call
OCNT-0458027-AA-001,0.0067542615102812,0.0469736403378468,non-substrate,inconclusive
OCNT-0458076-AA-001,-0.1906228575897726,-3.1642597687425065,inconclusive,substrate
OCNT-0458078-AA-001,-2.9837292031856895,-0.7940236329506153,substrate,substrate
OCNT-0458184-AA-001,0.0084493272471829,-0.4514162932392992,non-substrate,substrate
OCNT-0458275-AA-001,-0.0393395903749725,-0.2195550604731864,inconclusive,substrate
OCNT-0458307-AA-001,-0.315970612953501,-1.4003196747440614,substrate,substrate
OCNT-0458309-AA-001,0.0449858287348709,-0.0938295176693835,non-substrate,inconclusive
OCNT-0458336-AA-001,0.0321989191829451,-2.219770170783012,non-substrate,substrate
OCNT-0458364-AA-001,0.0546039818754416,-0.1219480035305583,non-substrate,inconclusive
OCNT-0458388-AA-001,-0.6407685549157213,-3.2346020461947655,substrate,substrate
OCNT-0458394-AA-001,0.0191701991747967,-0.2330706647159557,non-substrate,substrate
OCNT-0458398-AA-001,-0.1242267406883694,-0.4540545568884241,inconclusive,substrate
OCNT-0458408-AA-001,-0.0877742284922655,-2.2690202197497342,inconclusive,substrate
OCNT-0458432-AA-001,-0.0046851488942381,-0.1064686237116803,non-substrate,inconclusive
OCNT-0458447-AA-001,-0.400950569196398,-1.1706094933326163,substrate,substrate
OCNT-0458448-AA-001,-0.5604533906777004,-0.2729818224140604,substrate,substrate
OCNT-0458456-AA-001,-1.5284483619848588,-2.89666337033396,substrate,substrate
OCNT-0458458-AA-001,-0.1183094414363656,-0.3412766912149273,inconclusive,substrate
OCNT-0458462-AA-001,-0.2500302722508019,-1.0503626226672118,substrate,substrate
OCNT-0458485-AA-001,-0.4811334722373414,-0.9403952104699704,substrate,substrate
OCNT-0458500-AA-001,-0.919505898325533,-0.0993851904769135,substrate,inconclusive
OCNT-0458511-AA-001,-0.0081645316037723,-2.999812514648117,non-substrate,substrate
OCNT-0458524-AA-001,-0.1003109442665823,-1.10320707044706,inconclusive,substrate
OCNT-0458549-AA-001,-1.0565727056971306,-1.291991095364857,substrate,substrate
OCNT-0458556-AA-001,-0.0185709588493743,-3.148986400237561,non-substrate,substrate
