ocnt_batch,enzyme,mean,std,size,cv
OCNT-0454936-AA-001,CYP2J2,59984.875,7821.558917238516,4,0.13039218498393998
OCNT-0454936-AA-001,CYP3A4,108334.125,7931.007726796135,4,0.07320876710635854
OCNT-0454939-AA-001,CYP2J2,23324.125,2500.021345742205,4,0.10718607217815053
OCNT-0454939-AA-001,CYP3A4,48533.125,1375.7954290155205,4,0.028347554974371022
OCNT-0454970-AA-001,CYP2J2,20292.25,1107.8232786264543,4,0.05459341761640303
OCNT-0454970-AA-001,CYP3A4,31724.625,1411.2651755900922,4,0.04448484972131561
OCNT-0454980-AA-001,CYP2J2,14666.0,1661.3448618513858,3,0.11327866233815531
OCNT-0454980-AA-001,CYP3A4,26390.666666666668,4149.433103850854,3,0.157231083104539
OCNT-0454987-AA-001,CYP2J2,29630.75,3164.6741406765195,4,0.10680371373240703
OCNT-0454987-AA-001,CYP3A4,38589.625,5832.289621509434,4,0.15113620879988945
OCNT-0454989-AA-001,CYP2J2,13771.75,1291.1904390909963,4,0.09375645354373963
OCNT-0454989-AA-001,CYP3A4,15962.25,1207.4328483743238,4,0.07564302328144991
OCNT-0454997-AA-001,CYP2J2,53372.375,6063.103968197039,4,0.11360004062395647
OCNT-0454997-AA-001,CYP3A4,77186.125,7295.300420761755,4,0.09451569722876689
OCNT-0455003-AA-001,CYP2J2,22957.5,1744.6687842300225,4,0.07599559116759327
OCNT-0455003-AA-001,CYP3A4,41658.375,1895.9813806663124,4,0.045512610145410436
OCNT-0455007-AA-001,CYP2J2,101689.0,6340.277162711424,4,0.0623496854400321
OCNT-0455007-AA-001,CYP3A4,124215.125,1462.6556541100165,4,0.01177518159813482
OCNT-0455012-AA-001,CYP2J2,38804.125,3820.08543479942,4,0.09844534401431343
OCNT-0455012-AA-001,CYP3A4,55010.625,2962.088462976756,4,0.05384575185206051
OCNT-0455026-AA-001,CYP2J2,38377.0,3039.328297502591,4,0.07919660988359149
OCNT-0455026-AA-001,CYP3A4,47760.0,1822.0383731780557,4,0.03814988218547018
OCNT-0455046-AA-001,CYP2J2,33367.875,3083.127345596782,4,0.09239807286489721
